step=102 pts=50000 plates=22 total=26.5ms | move=0.3 boundary=1.2 subduction=16.7 collision=4.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=104 pts=50000 plates=22 total=26.4ms | move=0.3 boundary=1.1 subduction=16.2 collision=4.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=106 pts=50000 plates=22 total=26.4ms | move=0.3 boundary=1.1 subduction=16.4 collision=4.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=108 pts=50000 plates=22 total=26.1ms | move=0.3 boundary=1.2 subduction=15.7 collision=4.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=110 pts=50000 plates=22 total=25.6ms | move=0.3 boundary=1.1 subduction=15.4 collision=4.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=112 pts=50000 plates=22 total=25.3ms | move=0.3 boundary=1.3 subduction=15.3 collision=4.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=114 pts=50000 plates=22 total=25.8ms | move=0.3 boundary=1.3 subduction=15.4 collision=4.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=116 pts=50000 plates=22 total=25.0ms | move=0.3 boundary=1.1 subduction=15.3 collision=4.1 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.1 resample=0.0
step=118 pts=50000 plates=22 total=24.7ms | move=0.3 boundary=1.3 subduction=14.7 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
  RESAMPLE: total=1675ms | old_delaunay=686 new_delaunay=711 adjacency=6 flood=10 interp=261
step=120 pts=50000 plates=22 total=1703.0ms | move=0.3 boundary=1.3 subduction=14.6 collision=6.5 rift=0.1 rift_bnd=0.0 oceanic=0.0 erosion=4.2 resample=1675.9
step=122 pts=50000 plates=22 total=28.7ms | move=0.4 boundary=1.4 subduction=18.3 collision=4.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=124 pts=50000 plates=22 total=29.6ms | move=0.3 boundary=1.2 subduction=18.9 collision=4.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.3 resample=0.0
step=126 pts=50000 plates=22 total=28.9ms | move=0.3 boundary=1.2 subduction=18.9 collision=4.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=128 pts=50000 plates=22 total=29.3ms | move=0.3 boundary=1.2 subduction=19.0 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.2 erosion=4.0 resample=0.0
step=130 pts=50000 plates=22 total=28.0ms | move=0.3 boundary=1.2 subduction=18.2 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=132 pts=50000 plates=22 total=29.0ms | move=0.3 boundary=1.5 subduction=18.5 collision=4.7 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=134 pts=50000 plates=22 total=28.3ms | move=0.3 boundary=1.2 subduction=18.2 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=136 pts=50000 plates=22 total=29.5ms | move=0.3 boundary=1.2 subduction=19.2 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.3 resample=0.0
step=138 pts=50000 plates=22 total=28.1ms | move=0.3 boundary=1.2 subduction=18.1 collision=4.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=140 pts=50000 plates=22 total=28.2ms | move=0.3 boundary=1.3 subduction=18.0 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=142 pts=50000 plates=22 total=27.6ms | move=0.3 boundary=1.2 subduction=17.7 collision=4.4 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=144 pts=50000 plates=22 total=28.0ms | move=0.3 boundary=1.2 subduction=17.9 collision=4.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=146 pts=50000 plates=22 total=27.4ms | move=0.3 boundary=1.2 subduction=17.3 collision=4.6 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=148 pts=50000 plates=22 total=26.8ms | move=0.3 boundary=1.2 subduction=16.9 collision=4.3 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=150 pts=50000 plates=22 total=26.1ms | move=0.3 boundary=1.2 subduction=16.4 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=152 pts=50000 plates=22 total=26.7ms | move=0.3 boundary=1.2 subduction=16.3 collision=4.9 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
step=154 pts=50000 plates=22 total=26.3ms | move=0.3 boundary=1.2 subduction=16.2 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=156 pts=50000 plates=22 total=25.4ms | move=0.3 boundary=1.1 subduction=15.4 collision=4.5 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
step=158 pts=50000 plates=22 total=25.3ms | move=0.3 boundary=1.4 subduction=15.4 collision=4.2 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=4.0 resample=0.0
  RESAMPLE: total=1662ms | old_delaunay=680 new_delaunay=710 adjacency=5 flood=10 interp=255
step=160 pts=50000 plates=22 total=2388.3ms | move=0.3 boundary=1.1 subduction=15.1 collision=4.4 rift=0.1 rift_bnd=0.0 oceanic=700.4 erosion=4.4 resample=1662.5
step=162 pts=50000 plates=22 total=29.3ms | move=0.4 boundary=1.4 subduction=18.7 collision=4.8 rift=0.0 rift_bnd=0.0 oceanic=0.0 erosion=3.9 resample=0.0
