    plate[22]: 15836 samples, 21382 mesh verts, 41653 tris
    plate[23]: 7668 samples, 12977 mesh verts, 25017 tris
    plate[24]: 7519 samples, 8698 mesh verts, 16768 tris
    plate[25]: 6673 samples, 10712 mesh verts, 20664 tris
    plate[26]: 13218 samples, 19157 mesh verts, 37390 tris
    plate[27]: 4802 samples, 9693 mesh verts, 18291 tris
    plate[28]: 5892 samples, 12871 mesh verts, 24624 tris
    plate[29]: 7496 samples, 9058 mesh verts, 17164 tris
    plate[30]: 4622 samples, 12563 mesh verts, 23885 tris
    plate[31]: 8521 samples, 10224 mesh verts, 19701 tris
    plate[32]: 10593 samples, 13717 mesh verts, 26313 tris
    plate[33]: 5631 samples, 10765 mesh verts, 20791 tris
    plate[34]: 8606 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7603 samples, 8566 mesh verts, 16470 tris
    plate[36]: 7979 samples, 14130 mesh verts, 27053 tris
    plate[37]: 4266 samples, 8938 mesh verts, 16928 tris
    plate[38]: 7880 samples, 11570 mesh verts, 22384 tris
    plate[39]: 10354 samples, 19370 mesh verts, 37325 tris
  crust: cont=162727 (31.3%) ocean=356783 below_sea=0 elev=[2.000,2.750] avg=2.138 andean=415 himalayan=0
  isolated vertices: cont_in_ocean=367 ocean_in_cont=284
  after assign_samples step=9: assigned=320691/500000 gap=179309 plates=40
    plate[0]: 6802 samples, 9122 mesh verts, 17504 tris
    plate[1]: 7440 samples, 11161 mesh verts, 21458 tris
    plate[2]: 6500 samples, 12173 mesh verts, 23443 tris
    plate[3]: 7813 samples, 11607 mesh verts, 22314 tris
    plate[4]: 6262 samples, 8314 mesh verts, 15988 tris
    plate[5]: 5719 samples, 15421 mesh verts, 29889 tris
    plate[6]: 8648 samples, 11496 mesh verts, 21997 tris
    plate[7]: 7303 samples, 10983 mesh verts, 21270 tris
    plate[8]: 9012 samples, 11302 mesh verts, 21900 tris
    plate[9]: 6448 samples, 14605 mesh verts, 27834 tris
    plate[10]: 14979 samples, 19987 mesh verts, 38617 tris
    plate[11]: 13265 samples, 16928 mesh verts, 32839 tris
    plate[12]: 11312 samples, 19964 mesh verts, 39005 tris
    plate[13]: 6960 samples, 8813 mesh verts, 17009 tris
    plate[14]: 12755 samples, 20905 mesh verts, 40449 tris
    plate[15]: 7169 samples, 16020 mesh verts, 30885 tris
    plate[16]: 5674 samples, 11265 mesh verts, 21820 tris
    plate[17]: 4930 samples, 9057 mesh verts, 17391 tris
    plate[18]: 13172 samples, 17519 mesh verts, 34119 tris
    plate[19]: 9676 samples, 14460 mesh verts, 27919 tris
    plate[20]: 5927 samples, 11394 mesh verts, 21884 tris
    plate[21]: 6370 samples, 11320 mesh verts, 21833 tris
    plate[22]: 15405 samples, 21385 mesh verts, 41656 tris
    plate[23]: 0 samples, 103 mesh verts, 86 tris
    plate[24]: 7477 samples, 8706 mesh verts, 16776 tris
    plate[25]: 6605 samples, 10731 mesh verts, 20683 tris
    plate[26]: 17618 samples, 32032 mesh verts, 37391 tris
    plate[27]: 4302 samples, 9725 mesh verts, 18323 tris
    plate[28]: 5297 samples, 12876 mesh verts, 24629 tris
    plate[29]: 7386 samples, 9058 mesh verts, 17164 tris
    plate[30]: 4038 samples, 12585 mesh verts, 23907 tris
    plate[31]: 8385 samples, 10242 mesh verts, 19719 tris
    plate[32]: 10383 samples, 13746 mesh verts, 26342 tris
    plate[33]: 5247 samples, 10788 mesh verts, 20814 tris
    plate[34]: 8288 samples, 11672 mesh verts, 22598 tris
    plate[35]: 7563 samples, 8569 mesh verts, 16473 tris
    plate[36]: 7466 samples, 14146 mesh verts, 27069 tris
    plate[37]: 3900 samples, 8948 mesh verts, 16938 tris
    plate[38]: 7712 samples, 11573 mesh verts, 22387 tris
    plate[39]: 9483 samples, 19385 mesh verts, 37340 tris
  crust: cont=162727 (31.3%) ocean=357359 below_sea=0 elev=[2.000,166.308] avg=15.272 andean=586 himalayan=32013
  isolated vertices: cont_in_ocean=369 ocean_in_cont=285
  after assign_samples step=10: assigned=307864/500000 gap=192136 plates=40
    plate[0]: 6679 samples, 9122 mesh verts, 17504 tris
    plate[1]: 7364 samples, 11161 mesh verts, 21458 tris
    plate[2]: 6141 samples, 12173 mesh verts, 23443 tris
    plate[3]: 7488 samples, 11607 mesh verts, 22314 tris
    plate[4]: 6069 samples, 8314 mesh verts, 15988 tris
    plate[5]: 4866 samples, 15421 mesh verts, 29889 tris
    plate[6]: 8432 samples, 11496 mesh verts, 21997 tris
    plate[7]: 7151 samples, 10983 mesh verts, 21270 tris
    plate[8]: 8821 samples, 11302 mesh verts, 21900 tris
    plate[9]: 6026 samples, 14605 mesh verts, 27834 tris
